TONE,OCTAVE,MIDI
C,0,0
C#/Db,0,1
D,0,2
D#/Eb,0,3
E,0,4
F,0,5
F#/Gb,0,6
G,0,7
G#/Ab,0,8
A,0,9
A#/Bb,0,10
B,0,11
C,1,12
C#/Db,1,13
D,1,14
D#/Eb,1,15
E,1,16
F,1,17
F#/Gb,1,18
G,1,19
G#/Ab,1,20
A,1,21
A#/Bb,1,22
B,1,23
C,2,24
C#/Db,2,25
D,2,26
D#/Eb,2,27
E,2,28
F,2,29
F#/Gb,2,30
G,2,31
G#/Ab,2,32
A,2,33
A#/Bb,2,34
B,2,35
C,3,36
C#/Db,3,37
D,3,38
D#/Eb,3,39
E,3,40
F,3,41
F#/Gb,3,42
G,3,43
G#/Ab,3,44
A,3,45
A#/Bb,3,46
B,3,47
C,4,48
C#/Db,4,49
D,4,50
D#/Eb,4,51
E,4,52
F,4,53
F#/Gb,4,54
G,4,55
G#/Ab,4,56
A,4,57
A#/Bb,4,58
B,4,59
C,5,60
C#/Db,5,61
D,5,62
D#/Eb,5,63
E,5,64
F,5,65
F#/Gb,5,66
G,5,67
G#/Ab,5,68
A,5,69
A#/Bb,5,70
B,5,71
C,6,72
C#/Db,6,73
D,6,74
D#/Eb,6,75
E,6,76
F,6,77
F#/Gb,6,78
G,6,79
G#/Ab,6,80
A,6,81
A#/Bb,6,82
B,6,83
C,7,84
C#/Db,7,85
D,7,86
D#/Eb,7,87
E,7,88
F,7,89
F#/Gb,7,90
G,7,91
G#/Ab,7,92
A,7,93
A#/Bb,7,94
B,7,95
C,8,96
C#/Db,8,97
D,8,98
D#/Eb,8,99
E,8,100
F,8,101
F#/Gb,8,102
G,8,103
G#/Ab,8,104
A,8,105
A#/Bb,8,106
B,8,107
C,9,108
C#/Db,9,109
D,9,110
D#/Eb,9,111
E,9,112
F,9,113
F#/Gb,9,114
G,9,115
G#/Ab,9,116
A,9,117
A#/Bb,9,118
B,9,119
C,10,120
C#/Db,10,121
D,10,122
D#/Eb,10,123
E,10,124
F,10,125
F#/Gb,10,126
G,10,127
